input,time
0,82.0
1,82.0
2,82.0
3,82.0
4,82.0
5,82.0
6,82.0
7,82.0
8,82.0
9,82.0
10,82.0
11,82.0
12,82.0
13,82.0091743119266
14,82.00869565217391
15,82.05882352941177
16,82.03508771929825
17,82.03539823008849
18,82.03571428571429
19,82.03478260869565
20,82.03478260869565
21,82.05357142857143
22,82.06306306306307
23,82.06422018348624
24,82.12727272727273
25,82.11111111111111
26,82.14035087719299
27,82.22522522522523
28,82.20689655172414
29,82.18348623853211
30,82.32407407407408
31,82.36521739130434
32,82.45945945945945
33,82.4074074074074
34,82.48245614035088
35,82.52586206896552
36,82.56756756756756
37,82.5625
38,82.71052631578948
39,82.74545454545455
40,82.84210526315789
41,82.8141592920354
42,82.99074074074075
43,83.03669724770643
44,83.15178571428571
45,83.22935779816514
46,83.3781512605042
47,83.46491228070175
48,83.5
49,83.57657657657657
50,83.64957264957265
51,83.86725663716814
52,83.8859649122807
53,84.06363636363636
54,84.28695652173913
55,84.42477876106194
56,84.62711864406779
57,84.8018018018018
58,84.8125
59,84.99115044247787
60,85.29729729729729
61,85.69369369369369
62,85.91743119266054
63,85.97222222222223
64,86.01754385964912
65,86.19444444444444
66,86.37068965517241
67,86.59130434782608
68,86.91452991452991
69,87.15454545454546
70,87.46363636363637
71,87.80701754385964
72,88.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
