input,time
0,0.0
1,5.696428571428571
2,11.401785714285714
3,17.641025641025642
4,23.141592920353983
5,29.008928571428573
6,35.22018348623853
7,41.36607142857143
8,46.51754385964912
9,52.52252252252252
10,58.46017699115044
11,64.44036697247707
12,69.33333333333333
13,75.94495412844037
14,81.11304347826086
15,87.19327731092437
16,93.0
17,98.43362831858407
18,104.66964285714286
19,110.90434782608696
20,116.00869565217391
21,122.25
22,128.7927927927928
23,134.10091743119267
24,139.8
25,145.49074074074073
26,151.05263157894737
27,157.63063063063063
28,162.77586206896552
29,168.58715596330276
30,174.0648148148148
31,180.11304347826086
32,186.61261261261262
33,191.37962962962962
34,198.08771929824562
35,203.8793103448276
36,210.11711711711712
37,215.54464285714286
38,222.21052631578948
39,228.33636363636364
40,233.89473684210526
41,239.41592920353983
42,245.7685185185185
43,251.91743119266056
44,258.29464285714283
45,265.0366972477064
46,271.0840336134454
47,277.6929824561403
48,284.08181818181816
49,290.45045045045043
50,295.8034188034188
51,303.4070796460177
52,309.64912280701753
53,315.91818181818184
54,322.89565217391305
55,329.98230088495575
56,336.39830508474574
57,342.9549549549549
58,349.60714285714283
59,356.8141592920354
60,364.13513513513516
61,372.27927927927925
62,379.25688073394497
63,385.35185185185185
64,391.2631578947368
65,397.962962962963
66,404.2844827586207
67,411.4173913043478
68,419.3333333333333
69,426.23636363636365
70,432.8818181818182
71,441.0175438596491
72,448.0
