input,time
0,257.0
1,257.0
2,257.0
3,257.0
4,257.0
5,257.0
6,257.0
7,257.0
8,257.0
9,257.0
10,257.0
11,257.0
12,257.0
13,257.0
14,257.0
15,257.0
16,257.0
17,257.0
18,257.0
19,257.0
20,257.0
21,257.0
22,257.0
23,257.0
24,257.0
25,257.0
26,257.0
27,257.0
28,257.0
29,257.0
30,257.0
31,257.0
32,257.0
33,257.0
34,257.0
35,257.0
36,257.0
37,257.0
38,257.0
39,257.0
40,257.0
41,257.0
42,257.0
43,257.0
44,257.0
45,257.0
46,257.0
47,257.0
48,257.0
49,257.0
50,257.0
51,257.0
52,257.0
53,257.0
54,257.0
55,257.0
56,257.0
57,257.0
58,257.0
59,257.0
60,257.0
61,257.0
62,257.0
63,257.0
64,257.0
65,257.0
66,257.0
67,257.0
68,257.0
69,257.0
70,257.0
71,257.0
72,257.0
73,257.0
74,257.0
75,257.0
76,257.0
77,257.0
78,257.0
79,257.0
80,257.0
81,257.0
82,257.0
83,257.0
84,257.0
85,257.0
86,257.0
87,257.0
88,257.0
89,257.0
90,257.0
91,257.0
92,257.0
93,257.0
94,257.0
95,257.0
96,257.0
97,257.0
98,257.0
99,257.0
100,257.0
101,257.0
102,257.0
103,257.0
104,257.0
105,257.0
106,257.0
107,257.0
108,257.0
109,257.0
110,257.0
111,257.0
112,257.0
113,257.0
114,257.0
115,257.0
116,257.0
117,257.0
118,257.0
119,257.0
120,257.0
121,257.0
122,257.0
123,257.0
124,257.0
125,257.0
126,257.0
127,257.0
128,257.0
129,257.0
130,257.0
131,257.0
132,257.0
133,257.0
134,257.0
135,257.0
136,257.0
137,257.0
138,257.0
139,257.0
140,257.0
141,257.0
142,257.0
143,257.0
144,257.0
145,257.0
146,257.0
147,257.0
148,257.0
149,257.0
150,257.0
151,257.0
152,257.0
153,257.0
154,257.0
155,257.0
156,257.0
157,257.0
158,257.0
159,257.0
160,257.0
161,257.0
162,257.0
163,257.0
164,257.0
165,257.0
166,257.0
167,257.0
168,257.0
169,257.0
170,257.0
171,257.0
172,257.0
173,257.0
174,257.0
175,257.0
176,257.0
177,257.0
178,257.0
179,257.0
180,257.0
181,257.0
182,257.0
183,257.0
184,257.0
185,257.0
186,257.0
187,257.0
188,257.0
189,257.0
190,257.0
191,257.0
192,257.0
193,257.0
194,257.0
195,257.0
196,257.0
197,257.0
198,257.0
199,257.0
200,257.0
201,257.0
202,257.0
203,257.0
204,257.0
205,257.0
206,257.0
207,257.0
208,257.0
209,257.0
210,257.0
211,257.0
212,257.0
213,257.0
214,257.0
215,257.0
216,257.0
217,257.0
218,257.0
219,257.0
220,257.0
221,257.0
222,257.0
223,257.0
224,257.0
225,257.0
226,257.0
227,257.0
228,257.0
229,257.0
230,257.0
231,257.0
232,257.0
233,257.0
234,257.0
235,257.0
236,257.0
237,257.0
238,257.0
239,257.0
240,257.0
241,257.0
242,257.0
243,257.0
244,257.0
245,257.0
246,257.0
247,257.0
248,257.0
249,257.0
250,257.0
251,257.0
252,257.0
253,257.0
254,257.0
255,257.0
