input,time
0,0.0
1,5.0
2,10.0
3,15.0
4,21.0
5,28.0
6,38.0
7,40.0
8,56.0
9,58.0
10,68.0
11,71.0
12,74.0
13,81.0
14,97.0
15,107.0
16,116.0
17,120.0
18,129.0
19,142.0
20,151.0
21,164.0
22,177.0
23,181.0
24,184.0
25,193.0
26,203.0
27,213.0
28,215.0
29,223.0
30,233.0
31,237.0
32,247.0
33,262.0
34,268.0
35,274.0
36,285.0
37,292.0
38,294.0
39,301.0
40,304.0
41,307.0
42,313.0
43,321.0
44,335.0
45,346.0
46,362.0
47,374.0
48,389.0
49,395.0
50,410.0
51,418.0
52,426.0
53,428.0
54,435.0
55,443.0
56,452.0
57,467.0
58,472.0
59,485.0
60,489.0
61,497.0
62,503.0
63,517.0
64,531.0
65,545.0
66,552.0
67,560.0
68,569.0
69,584.0
70,589.0
71,603.0
72,605.0
73,616.0
74,625.0
75,641.0
76,647.0
77,652.0
78,666.0
79,680.0
80,697.0
81,706.0
82,710.0
83,715.0
84,723.0
85,738.0
86,744.0
87,761.0
88,778.0
89,794.0
90,804.0
91,808.0
92,823.0
93,825.0
94,837.0
95,850.0
96,864.0
97,881.0
98,889.0
99,901.0
100,911.0
101,928.0
102,930.0
103,941.0
104,950.0
105,964.0
106,971.0
107,987.0
108,991.0
109,1000.0
110,1015.0
111,1017.0
112,1030.0
113,1032.0
114,1048.0
115,1059.0
116,1065.0
117,1078.0
118,1087.0
119,1094.0
120,1111.0
121,1116.0
122,1122.0
123,1125.0
124,1129.0
125,1131.0
126,1143.0
127,1153.0
128,1165.0
129,1182.0
130,1199.0
131,1212.0
132,1228.0
133,1245.0
134,1258.0
135,1270.0
136,1275.0
137,1289.0
138,1304.0
139,1315.0
140,1329.0
141,1340.0
142,1343.0
143,1354.0
144,1359.0
145,1366.0
146,1369.0
147,1371.0
148,1386.0
149,1391.0
150,1401.0
151,1413.0
152,1416.0
153,1426.0
154,1434.0
155,1450.0
156,1454.0
157,1466.0
158,1473.0
159,1483.0
160,1488.0
161,1505.0
162,1521.0
163,1525.0
164,1533.0
165,1545.0
166,1551.0
167,1554.0
168,1566.0
169,1573.0
170,1585.0
171,1599.0
172,1612.0
173,1629.0
174,1638.0
175,1652.0
176,1664.0
177,1675.0
178,1691.0
179,1707.0
180,1709.0
181,1718.0
182,1731.0
183,1734.0
184,1737.0
185,1753.0
186,1763.0
187,1780.0
188,1795.0
189,1807.0
190,1812.0
191,1820.0
192,1828.0
193,1836.0
194,1846.0
195,1850.0
196,1853.0
197,1860.0
198,1864.0
199,1880.0
200,1884.0
201,1897.0
202,1912.0
203,1927.0
204,1938.0
205,1950.0
206,1963.0
207,1970.0
208,1979.0
209,1993.0
210,1999.0
211,2004.0
212,2009.0
213,2015.0
214,2026.0
215,2035.0
216,2037.0
217,2043.0
218,2055.0
219,2072.0
220,2085.0
221,2092.0
222,2109.0
223,2112.0
224,2118.0
225,2129.0
226,2132.0
227,2143.0
228,2151.0
229,2166.0
230,2181.0
231,2191.0
232,2204.0
233,2220.0
234,2227.0
235,2235.0
236,2246.0
237,2262.0
238,2267.0
239,2276.0
240,2293.0
241,2308.0
242,2310.0
243,2317.0
244,2331.0
245,2337.0
246,2348.0
247,2365.0
248,2369.0
249,2371.0
250,2385.0
251,2389.0
252,2402.0
253,2413.0
254,2416.0
255,2420.0
