input,time
0,7.724
1,16.393
2,25.811
3,21.628
4,27.967
5,42.063
6,34.127
7,83.675
8,44.888
9,65.569
10,56.202
11,77.312
12,170.601
13,132.368
14,86.312
15,109.519
16,1299.232
17,2443.46
18,153.828
19,96.51
20,95.031
21,109.905
22,104.87
23,114.61
24,116.38
25,120.912
26,131.5885
27,127.64
28,152.245
29,143.2095
30,156.936
31,152.074
32,161.339
33,180.31
34,179.932
35,2139.488
36,178.0435
37,456.124
38,197.432
39,192.04
40,191.859
41,1278.062
42,290.845
43,473.355
44,482.855
45,242.33
46,1413.85
47,257.689
48,248.521
49,293.119
50,250.646
51,249.285
52,275.125
53,672.072
54,265.124
55,271.274
56,308.195
57,300.086
58,296.021
59,1015.049
60,1638.536
61,354.436
62,330.859
63,344.366
64,365.679
65,364.555
66,1337.392
67,374.66200000000003
68,389.094
69,390.362
70,473.79449999999997
71,427.148
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
