input,time
0,0.0
1,0.0
2,0.0
3,0.001
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.001
10,0.0
11,0.001
12,0.003
13,0.012
14,0.004
15,0.004
16,0.013999999999999999
17,0.0
18,0.002
19,0.006
20,0.04300000000000001
21,0.08700000000000001
22,0.02600000000000001
23,0.013000000000000005
24,0.003
25,0.017
26,0.022000000000000002
27,0.002
28,0.004
29,0.027000000000000003
30,0.004
31,0.002
32,0.002
33,0.005
34,0.004
35,0.005
36,0.003
37,0.007
38,0.016
39,0.006
40,0.055
41,0.010000000000000002
42,0.014000000000000002
43,0.033
44,0.006
